date,skin,price
2026-02-19,AK-47 | Slate (Field-Tested),35.5
2026-03-05T12:40:15Z,Desert Eagle | Mulberry (Factory New),169.44,190
2026-03-05T12:40:15Z,AWP | Ice Coaled (Minimal Wear),123.29,190
2026-03-05T12:40:15Z,USP-S | The Traitor (Field-Tested),210.93,189
2026-03-05T12:40:15Z,M4A1-S | Basilisk (Minimal Wear),72.05,188
2026-03-05T12:40:15Z,M4A4 | Desolate Space (Minimal Wear),139.86,188
2026-03-05T12:40:15Z,Glock-18 | Nuclear Garden (Minimal Wear),25.59,188
2026-03-05T12:40:15Z,M4A1-S | Glitched Paint (Field-Tested),23.01,188
2026-03-05T12:40:15Z,Desert Eagle | Serpent Strike (Field-Tested),7.06,188
2026-03-05T12:40:15Z,AK-47 | The Empress (Field-Tested),508.94,187
2026-03-05T12:40:15Z,XM1014 | Gum Wall Camo (Factory New),1.96,187
2026-03-05T12:40:15Z,★ Sport Gloves | Omega (Field-Tested),1629.92,186
2026-03-05T12:40:15Z,SCAR-20 | Poultrygeist (Factory New),2.95,186
2026-03-05T12:40:15Z,AWP | Green Energy (Field-Tested),105.86,186
2026-03-05T12:40:15Z,★ Specialist Gloves | Mogul (Field-Tested),812.17,185
2026-03-05T12:40:15Z,FAMAS | Bad Trip (Field-Tested),293.29,185
2026-03-05T12:40:15Z,SSG 08 | Fever Dream (Field-Tested),5.65,184
2026-03-05T12:40:15Z,★ Broken Fang Gloves | Needle Point (Field-Tested),368.16,183
2026-03-05T12:40:15Z,MAC-10 | Pipsqueak (Field-Tested),3.93,183
2026-03-05T12:40:15Z,MP5-SD | Kitbash (Field-Tested),2.33,182
2026-03-05T12:40:15Z,Desert Eagle | Trigger Discipline (Field-Tested),5.65,182
2026-03-05T12:40:15Z,MAG-7 | Wildwood (Factory New),1.78,181
2026-03-05T12:40:15Z,AK-47 | Bloodsport (Minimal Wear),922.39,180
2026-03-05T12:40:15Z,AK-47 | Head Shot (Field-Tested),210.19,180
2026-03-05T12:40:15Z,Five-SeveN | Heat Treated (Field-Tested),47.93,180
2026-03-05T12:40:15Z,AK-47 | Frontside Misty (Minimal Wear),197.18,179
2026-03-05T12:40:15Z,Dual Berettas | Flora Carnivora (Minimal Wear),6.93,179
2026-03-05T12:40:15Z,Five-SeveN | Midnight Paintover (Factory New),1.29,179
2026-03-05T12:40:15Z,M4A1-S | Basilisk (Field-Tested),54.31,178
2026-03-05T12:40:15Z,AK-47 | Point Disarray (Field-Tested),89.54,177
2026-03-05T12:40:15Z,AK-47 | Nightwish (Field-Tested),376.93,177
2026-03-05T12:40:15Z,AWP | Pit Viper (Field-Tested),5.46,176
2026-03-05T12:40:15Z,M4A1-S | Printstream (Field-Tested),1369.47,176
2026-03-05T12:40:15Z,M4A4 | 龍王 (Dragon King) (Minimal Wear),170.3,175
2026-03-05T12:40:15Z,Desert Eagle | Trigger Discipline (Minimal Wear),13.75,175
2026-03-05T12:40:15Z,Glock-18 | AXIA (Field-Tested),268.37,175
2026-03-05T12:40:15Z,AWP | Crakow! (Field-Tested),286.17,175
2026-03-05T12:40:15Z,★ Moto Gloves | Transport (Field-Tested),278.62,174
2026-03-05T12:40:15Z,AUG | Eye of Zapems (Field-Tested),25.96,174
2026-03-05T12:40:15Z,FAMAS | Rapid Eye Movement (Field-Tested),38.17,173
2026-03-05T12:40:15Z,M4A1-S | Stratosphere (Field-Tested),63.33,173
2026-03-05T12:40:15Z,SSG 08 | Fever Dream (Minimal Wear),12.58,172
2026-03-05T12:40:15Z,★ Driver Gloves | Rezan the Red (Field-Tested),655.43,172
2026-03-05T12:40:15Z,Dual Berettas | Cobalt Quartz (Factory New),5.46,171
2026-03-05T12:40:15Z,Five-SeveN | Urban Hazard (Factory New),24.55,171
2026-03-05T12:40:15Z,Galil AR | Stone Cold (Minimal Wear),50.51,171
2026-03-05T12:40:15Z,P250 | Franklin (Minimal Wear),12.83,170
2026-03-05T12:40:15Z,USP-S | Check Engine (Factory New),10.06,170
2026-03-05T12:40:15Z,Desert Eagle | Meteorite (Factory New),10.37,169
2026-03-05T12:40:15Z,Souvenir USP-S | Purple DDPAT (Minimal Wear),36.33,169
2026-03-05T12:40:15Z,MAC-10 | Monkeyflage (Minimal Wear),1.35,169
2026-03-05T12:40:15Z,★ Broken Fang Gloves | Yellow-banded (Field-Tested),377.36,168
2026-03-05T12:40:15Z,P250 | Small Game (Field-Tested),3.25,168
2026-03-05T12:40:15Z,SSG 08 | Dragonfire (Minimal Wear),1879.88,167
2026-03-05T12:40:15Z,Glock-18 | Water Elemental (Field-Tested),132.31,166
2026-03-05T12:40:15Z,P250 | Asiimov (Field-Tested),63.76,166
2026-03-05T12:40:15Z,Tec-9 | Red Quartz (Factory New),3.68,166
2026-03-05T12:40:15Z,USP-S | Cyrex (Factory New),49.65,166
2026-03-05T12:40:15Z,USP-S | Stainless (Field-Tested),39.4,166
2026-03-05T12:40:15Z,M4A4 | 龍王 (Dragon King) (Field-Tested),101.51,165
2026-03-05T12:40:15Z,Glock-18 | Block-18 (Field-Tested),3.38,165
2026-03-05T12:40:15Z,MP9 | Ruby Poison Dart (Minimal Wear),16.75,164
2026-03-05T12:40:15Z,P2000 | Lifted Spirits (Minimal Wear),1.23,163
2026-03-05T12:40:15Z,AWP | Sun in Leo (Minimal Wear),196.94,162
2026-03-05T12:40:15Z,USP-S | Blueprint (Minimal Wear),60.88,162
2026-03-05T12:40:15Z,Nova | Yorkshire (Field-Tested),3.5,162
2026-03-05T12:40:15Z,MAC-10 | Silver (Factory New),16.02,161
2026-03-05T12:40:15Z,MP7 | Fade (Field-Tested),56.46,161
2026-03-05T12:40:15Z,Five-SeveN | Coolant (Factory New),1.04,161
2026-03-05T12:40:15Z,USP-S | Royal Guard (Factory New),114.33,161
2026-03-05T12:40:15Z,AK-47 | Aphrodite (Field-Tested),220.13,161
2026-03-05T12:40:15Z,P250 | Vino Primo (Field-Tested),6.87,160
2026-03-05T12:40:15Z,★ Specialist Gloves | Field Agent (Field-Tested),1026.29,160
2026-03-05T12:40:15Z,Glock-18 | Moonrise (Factory New),20.31,159
2026-03-05T12:40:15Z,MP7 | Abyssal Apparition (Field-Tested),38.23,159
2026-03-05T12:40:15Z,★ Specialist Gloves | Marble Fade (Field-Tested),1176.65,158
2026-03-05T12:40:15Z,AK-47 | Nightwish (Minimal Wear),471.26,158
2026-03-05T12:40:15Z,MP9 | Arctic Tri-Tone (Factory New),102.79,158
2026-03-05T12:40:15Z,MP9 | Cobalt Paisley (Factory New),18.04,158
2026-03-05T12:40:15Z,★ Specialist Gloves | Buckshot (Field-Tested),402.4,157
2026-03-05T12:40:15Z,MP9 | Food Chain (Minimal Wear),46.27,157
2026-03-05T12:40:15Z,MAC-10 | Echoing Sands (Field-Tested),1.84,157
2026-03-05T12:40:15Z,Tec-9 | Whiteout (Field-Tested),68.61,157
2026-03-05T12:40:15Z,★ Sport Gloves | Amphibious (Field-Tested),2614.79,156
2026-03-05T12:40:15Z,★ Moto Gloves | Smoke Out (Field-Tested),1024.57,156
2026-03-05T12:40:15Z,★ Sport Gloves | Scarlet Shamagh (Field-Tested),1565.48,156
2026-03-05T12:40:15Z,AWP | Wildfire (Minimal Wear),397.37,155
2026-03-05T12:40:15Z,Desert Eagle | Blue Ply (Minimal Wear),3.87,155
2026-03-05T12:40:15Z,Desert Eagle | Light Rail (Minimal Wear),15.71,154
2026-03-05T12:40:15Z,AK-47 | Safari Mesh (Minimal Wear),1.17,153
2026-03-05T12:40:15Z,USP-S | Kill Confirmed (Field-Tested),411.36,152
2026-03-05T12:40:15Z,SSG 08 | Memorial (Minimal Wear),1.47,152
2026-03-05T12:40:15Z,AK-47 | Bloodsport (Field-Tested),862.25,151
2026-03-05T12:40:15Z,AWP | Mortis (Minimal Wear),36.76,151
2026-03-05T12:40:15Z,AWP | Green Energy (Minimal Wear),218.66,151
2026-03-05T12:40:15Z,Five-SeveN | Hybrid (Field-Tested),3.13,150
2026-03-05T12:40:15Z,Five-SeveN | Monkey Business (Field-Tested),64.25,149
2026-03-05T12:40:15Z,M4A1-S | Hyper Beast (Field-Tested),622.9,149
2026-03-05T12:40:15Z,Tec-9 | Ice Cap (Factory New),6.69,149
2026-03-05T12:40:15Z,★ Specialist Gloves | Fade (Field-Tested),1515.22,149
2026-03-05T12:40:15Z,AWP | Atheris (Factory New),152.14,149
2026-03-05T12:40:15Z,★ Hand Wraps | Desert Shamagh (Field-Tested),347.84,149
2026-03-05T12:40:15Z,Sawed-Off | Parched (Factory New),3.99,149
2026-03-05T12:40:15Z,M4A4 | Sheet Lightning (Minimal Wear),39.71,148
2026-03-05T12:40:15Z,R8 Revolver | Amber Fade (Factory New),13.56,147
2026-03-05T12:40:15Z,AWP | Neo-Noir (Field-Tested),229.71,147
2026-03-05T12:40:15Z,R8 Revolver | Blaze (Factory New),22.95,147
2026-03-05T12:40:15Z,Souvenir USP-S | Purple DDPAT (Factory New),115.19,147
2026-03-05T12:40:15Z,AK-47 | Ice Coaled (Factory New),105.19,147
2026-03-05T12:40:15Z,USP-S | Desert Tactical (Field-Tested),1.96,147
2026-03-05T12:40:15Z,AWP | Worm God (Minimal Wear),19.58,146
2026-03-05T12:40:15Z,Tec-9 | Red Quartz (Minimal Wear),1.72,146
2026-03-05T12:40:15Z,M4A1-S | Mud-Spec (Field-Tested),2.21,146
2026-03-05T12:40:15Z,MAC-10 | Derailment (Field-Tested),27.37,146
2026-03-05T12:40:15Z,Desert Eagle | Conspiracy (Factory New),115.07,145
2026-03-05T12:40:15Z,Zeus x27 | Olympus (Minimal Wear),36.27,145
2026-03-05T12:40:15Z,MP9 | Cobalt Paisley (Minimal Wear),7.98,145
2026-03-05T12:40:15Z,M4A4 | Choppa (Minimal Wear),1.66,145
2026-03-05T12:40:15Z,AK-47 | Aquamarine Revenge (Field-Tested),244.13,144
2026-03-05T12:40:15Z,Galil AR | Rocket Pop (Minimal Wear),18.17,144
2026-03-05T12:40:15Z,★ Hydra Gloves | Case Hardened (Field-Tested),396.02,144
2026-03-05T12:40:15Z,P250 | Visions (Minimal Wear),32.34,144
2026-03-05T12:40:15Z,SSG 08 | Zeno (Minimal Wear),5.46,144
2026-03-05T12:40:15Z,SSG 08 | Dragonfire (Field-Tested),1710.75,143
2026-03-05T12:40:15Z,SG 553 | Dragon Tech (Minimal Wear),6.14,143
2026-03-05T12:40:15Z,AK-47 | Blue Laminate (Minimal Wear),157.17,142
2026-03-05T12:40:15Z,SG 553 | Anodized Navy (Factory New),3.87,142
2026-03-05T12:40:15Z,Desert Eagle | Crimson Web (Field-Tested),109.97,141
2026-03-05T12:40:15Z,★ Sport Gloves | Vice (Field-Tested),4713.64,141
2026-03-05T12:40:15Z,UMP-45 | Crimson Foil (Minimal Wear),37.25,141
2026-03-05T12:40:15Z,FAMAS | Yeti Camo (Field-Tested),3.99,141
2026-03-05T12:40:15Z,Galil AR | Tuxedo (Field-Tested),4.36,140
2026-03-05T12:40:15Z,Nova | Candy Apple (Factory New),2.64,140
2026-03-05T12:40:15Z,★ Moto Gloves | Turtle (Field-Tested),524.84,140
2026-03-05T12:40:15Z,M4A4 | Poly Mag (Minimal Wear),1.41,140
2026-03-05T12:40:15Z,M4A4 | Etch Lord (Minimal Wear),9.94,140
2026-03-05T12:40:15Z,Tec-9 | Blue Blast (Factory New),2.88,140
2026-03-05T12:40:15Z,Glock-18 | Green Line (Minimal Wear),11.17,140
2026-03-05T12:40:15Z,P250 | Vino Primo (Minimal Wear),19.15,139
2026-03-05T12:40:15Z,MAC-10 | Light Box (Minimal Wear),1.23,139
2026-03-05T12:40:15Z,Dual Berettas | Polished Malachite (Factory New),10.13,139
2026-03-05T12:40:15Z,Glock-18 | AXIA (Minimal Wear),376.5,138
2026-03-05T12:40:15Z,XM1014 | Monster Melt (Field-Tested),23.75,138
2026-03-05T12:40:15Z,FAMAS | Valence (Field-Tested),35.41,137
2026-03-05T12:40:15Z,USP-S | Check Engine (Minimal Wear),5.65,137
2026-03-05T12:40:15Z,Dual Berettas | Polished Malachite (Minimal Wear),1.47,137
2026-03-05T12:40:15Z,M4A4 | Neo-Noir (Field-Tested),247.26,136
2026-03-05T12:40:15Z,★ Hand Wraps | Cobalt Skulls (Field-Tested),1552.23,136
2026-03-05T12:40:15Z,AWP | Exoskeleton (Field-Tested),37.56,136
2026-03-05T12:40:15Z,MP7 | Just Smile (Field-Tested),3.62,136
2026-03-05T12:40:15Z,Dual Berettas | Sweet Little Angels (Field-Tested),26.2,136
2026-03-05T12:40:15Z,★ Hydra Gloves | Emerald (Field-Tested),270.52,135
2026-03-05T12:40:15Z,★ Sport Gloves | Bronze Morph (Field-Tested),807.26,135
2026-03-05T12:40:15Z,AUG | Tom Cat (Field-Tested),1.47,135
2026-03-05T12:40:15Z,★ Sport Gloves | Big Game (Field-Tested),1280.54,135
2026-03-05T12:40:15Z,M4A4 | Naval Shred Camo (Minimal Wear),4.97,135
2026-03-05T12:40:15Z,AK-47 | Nouveau Rouge (Minimal Wear),341.09,135
2026-03-05T12:40:15Z,MP7 | Smoking Kills (Field-Tested),68.43,135
2026-03-05T12:40:15Z,Five-SeveN | Hybrid (Minimal Wear),7.86,134
2026-03-05T12:40:15Z,XM1014 | Mockingbird (Minimal Wear),1.29,134
2026-03-05T12:40:15Z,MP7 | Bloodsport (Minimal Wear),378.35,132
2026-03-05T12:40:15Z,P250 | Muertos (Minimal Wear),65.67,132
2026-03-05T12:40:15Z,AWP | Neo-Noir (Factory New),348.46,132
2026-03-05T12:40:15Z,AK-47 | Uncharted (Field-Tested),4.79,132
2026-03-05T12:40:15Z,★ Stiletto Knife | Tiger Tooth (Factory New),1736.71,132
2026-03-05T12:40:15Z,MAC-10 | Allure (Field-Tested),2.27,132
2026-03-05T12:40:15Z,Dual Berettas | Flora Carnivora (Field-Tested),2.88,132
2026-03-05T12:40:15Z,UMP-45 | K.O. Factory (Minimal Wear),43.39,132
2026-03-05T12:40:15Z,USP-S | Stainless (Minimal Wear),71.0,131
2026-03-05T12:40:15Z,P250 | Nevermore (Minimal Wear),8.41,131
2026-03-05T12:40:15Z,Galil AR | Signal (Minimal Wear),6.14,131
2026-03-05T12:40:15Z,MAC-10 | Disco Tech (Minimal Wear),57.2,131
2026-03-05T12:40:15Z,★ Broken Fang Gloves | Jade (Field-Tested),560.37,131
2026-03-05T12:40:15Z,MP9 | Starlight Protector (Minimal Wear),423.76,131
2026-03-05T12:40:15Z,FAMAS | Meow 36 (Minimal Wear),1.29,131
2026-03-05T12:40:15Z,AWP | Crakow! (Minimal Wear),573.56,131
2026-03-05T12:40:15Z,P250 | Constructivist (Factory New),3.25,131
2026-03-05T12:40:15Z,Galil AR | Crimson Tsunami (Minimal Wear),20.68,130
2026-03-05T12:40:15Z,MP7 | Bloodsport (Field-Tested),193.01,130
2026-03-05T12:40:15Z,MAG-7 | Monster Call (Minimal Wear),7.36,130
2026-03-05T12:40:15Z,SG 553 | Dragon Tech (Field-Tested),2.52,130
2026-03-05T12:40:15Z,Sawed-Off | Kiss♥Love (Field-Tested),21.23,130
2026-03-05T12:40:15Z,AWP | Black Nile (Factory New),135.81,130
2026-03-05T12:40:15Z,MP7 | Just Smile (Minimal Wear),8.47,130
2026-03-05T12:40:15Z,AWP | PAW (Minimal Wear),20.13,129
2026-03-05T12:40:15Z,M4A4 | The Emperor (Minimal Wear),490.71,129
2026-03-05T12:40:15Z,M4A4 | Choppa (Factory New),16.63,129
2026-03-05T12:40:15Z,P250 | See Ya Later (Field-Tested),513.42,128
2026-03-05T12:40:15Z,M4A1-S | Player Two (Field-Tested),296.42,128
2026-03-05T12:40:15Z,M4A1-S | Player Two (Minimal Wear),392.4,128
2026-03-05T12:40:15Z,FAMAS | Rapid Eye Movement (Minimal Wear),51.61,128
2026-03-05T12:40:15Z,FAMAS | Yeti Camo (Factory New),23.87,128
2026-03-05T12:40:15Z,P2000 | Sure Grip (Minimal Wear),1.29,128
2026-03-05T12:40:15Z,Galil AR | Control (Minimal Wear),7.06,128
2026-03-05T12:40:15Z,★ Nomad Knife | Tiger Tooth (Factory New),1215.43,128
2026-03-05T12:40:15Z,Five-SeveN | Flame Test (Minimal Wear),1.41,127
2026-03-05T12:40:15Z,Glock-18 | Candy Apple (Field-Tested),6.69,127
2026-03-05T12:40:15Z,P250 | Franklin (Factory New),27.31,127
2026-03-05T12:40:15Z,USP-S | Neo-Noir (Field-Tested),509.06,127
2026-03-05T13:09:15Z,StatTrak™ MP7 | Bloodsport (Field-Tested),145.88,304
2026-03-05T13:09:15Z,StatTrak™ USP-S | Ticket to Hell (Minimal Wear),21.17,244
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Night Terror (Field-Tested),13.75,222
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Serpent Strike (Minimal Wear),21.66,212
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Serpent Strike (Factory New),42.35,191
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Shinobu (Field-Tested),77.51,180
2026-03-05T13:09:15Z,StatTrak™ USP-S | Ticket to Hell (Field-Tested),9.27,178
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Black Lotus (Field-Tested),124.4,174
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Night Terror (Minimal Wear),20.74,173
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Moonrise (Field-Tested),11.05,168
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Night Terror (Factory New),51.67,168
2026-03-05T13:09:15Z,StatTrak™ USP-S | PC-GRN (Minimal Wear),11.78,168
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Slate (Field-Tested),73.4,160
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),10.19,148
2026-03-05T13:09:15Z,StatTrak™ USP-S | PC-GRN (Field-Tested),3.87,145
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Vogue (Field-Tested),38.79,144
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Slate (Minimal Wear),146.55,139
2026-03-05T13:09:15Z,StatTrak™ USP-S | Ticket to Hell (Factory New),62.66,138
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Black Lotus (Minimal Wear),182.02,135
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Ice Coaled (Field-Tested),66.1,134
2026-03-05T13:09:15Z,StatTrak™ USP-S | Jawbreaker (Field-Tested),74.99,133
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Liquidation (Minimal Wear),118.2,133
2026-03-05T13:09:15Z,StatTrak™ AWP | Duality (Field-Tested),42.59,131
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Choppa (Field-Tested),2.15,130
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Choppa (Minimal Wear),6.75,129
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear),23.14,128
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Moonrise (Minimal Wear),20.74,121
2026-03-05T13:09:15Z,StatTrak™ SSG 08 | Abyss (Minimal Wear),17.67,121
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Serpent Strike (Field-Tested),7.92,121
2026-03-05T13:09:15Z,StatTrak™ AWP | Chromatic Aberration (Field-Tested),160.91,120
2026-03-05T13:09:15Z,StatTrak™ USP-S | Jawbreaker (Minimal Wear),146.92,120
2026-03-05T13:09:15Z,StatTrak™ Five-SeveN | Flame Test (Minimal Wear),3.38,115
2026-03-05T13:09:15Z,StatTrak™ USP-S | Black Lotus (Field-Tested),31.79,115
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Shinobu (Minimal Wear),151.22,115
2026-03-05T13:09:15Z,StatTrak™ Five-SeveN | Flame Test (Field-Tested),1.35,114
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Searing Rage (Field-Tested),81.99,114
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested),6.63,111
2026-03-05T13:09:15Z,StatTrak™ USP-S | Cortex (Field-Tested),52.53,108
2026-03-05T13:09:15Z,StatTrak™ MP7 | Bloodsport (Minimal Wear),190.12,106
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Printstream (Field-Tested),380.8,106
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Umbral Rabbit (Minimal Wear),14.24,105
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Ice Coaled (Minimal Wear),125.32,103
2026-03-05T13:09:15Z,StatTrak™ USP-S | Printstream (Field-Tested),438.37,101
2026-03-05T13:09:15Z,StatTrak™ MAC-10 | Sakkaku (Field-Tested),12.4,101
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Uncharted (Field-Tested),18.9,100
2026-03-05T13:09:15Z,StatTrak™ AWP | Atheris (Field-Tested),60.08,100
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Blue Ply (Minimal Wear),16.75,99
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Elite Build (Field-Tested),45.11,95
2026-03-05T13:09:15Z,StatTrak™ P250 | Supernova (Minimal Wear),16.88,95
2026-03-05T13:09:15Z,StatTrak™ MP5-SD | Kitbash (Field-Tested),3.8,95
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Moonrise (Factory New),38.11,94
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Vogue (Minimal Wear),71.8,94
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Temukau (Field-Tested),203.5,94
2026-03-05T13:09:15Z,StatTrak™ AWP | Duality (Minimal Wear),71.13,93
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Tooth Fairy (Field-Tested),46.09,92
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Head Shot (Field-Tested),205.1,92
2026-03-05T13:09:15Z,StatTrak™ SSG 08 | Memorial (Minimal Wear),3.62,92
2026-03-05T13:09:15Z,StatTrak™ USP-S | Black Lotus (Minimal Wear),65.17,90
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Block-18 (Minimal Wear),18.9,90
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Etch Lord (Minimal Wear),22.71,89
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested),16.14,88
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Blue Ply (Field-Tested),6.63,85
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Light Rail (Field-Tested),22.09,84
2026-03-05T13:09:15Z,StatTrak™ AWP | Capillary (Field-Tested),11.48,83
2026-03-05T13:09:15Z,StatTrak™ Five-SeveN | Scrawl (Minimal Wear),1.72,83
2026-03-05T13:09:15Z,StatTrak™ SSG 08 | Abyss (Field-Tested),6.14,82
2026-03-05T13:09:15Z,StatTrak™ USP-S | Cortex (Minimal Wear),90.83,81
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Light Rail (Minimal Wear),45.48,81
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Elite Build (Minimal Wear),58.06,79
2026-03-05T13:09:15Z,StatTrak™ Five-SeveN | Urban Hazard (Factory New),56.77,79
2026-03-05T13:09:15Z,StatTrak™ AWP | Atheris (Minimal Wear),112.74,79
2026-03-05T13:09:15Z,StatTrak™ MP9 | Nexus (Minimal Wear),2.88,78
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Water Elemental (Minimal Wear),218.85,75
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Inheritance (Field-Tested),652.42,74
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Block-18 (Field-Tested),18.1,74
2026-03-05T13:09:15Z,StatTrak™ MAG-7 | Monster Call (Field-Tested),4.11,73
2026-03-05T13:09:15Z,StatTrak™ MAC-10 | Light Box (Minimal Wear),2.39,73
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Printstream (Minimal Wear),552.33,72
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear),34.0,72
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Etch Lord (Field-Tested),9.88,72
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Searing Rage (Minimal Wear),120.96,72
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Liquidation (Field-Tested),64.19,72
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Redline (Field-Tested),492.92,71
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Magnesium (Minimal Wear),22.22,71
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Clear Polymer (Minimal Wear),9.76,71
2026-03-05T13:09:15Z,StatTrak™ MP5-SD | Necro Jr. (Minimal Wear),1.41,71
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Black Lotus (Factory New),269.17,71
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Neo-Noir (Field-Tested),220.93,70
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),84.69,70
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Legion of Anubis (Minimal Wear),274.81,70
2026-03-05T13:09:15Z,StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested),37.25,70
2026-03-05T13:09:15Z,StatTrak™ Sawed-Off | Analog Input (Field-Tested),7.06,70
2026-03-05T13:09:15Z,StatTrak™ USP-S | Cyrex (Minimal Wear),46.27,69
2026-03-05T13:09:15Z,StatTrak™ AWP | Printstream (Field-Tested),537.35,68
2026-03-05T13:09:15Z,StatTrak™ AWP | Mortis (Field-Tested),54.8,67
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Asiimov (Field-Tested),439.1,67
2026-03-05T13:09:15Z,StatTrak™ SSG 08 | Fever Dream (Minimal Wear),34.74,67
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Head Shot (Minimal Wear),310.59,67
2026-03-05T13:09:15Z,StatTrak™ P90 | Wave Breaker (Minimal Wear),17.0,67
2026-03-05T13:09:15Z,StatTrak™ P250 | Valence (Field-Tested),3.13,66
2026-03-05T13:09:15Z,StatTrak™ P250 | Valence (Minimal Wear),7.12,66
2026-03-05T13:09:15Z,StatTrak™ Galil AR | Control (Minimal Wear),12.7,66
2026-03-05T13:09:15Z,StatTrak™ Glock-18 | Bunsen Burner (Field-Tested),8.78,65
2026-03-05T13:09:15Z,StatTrak™ USP-S | Torque (Factory New),36.39,65
2026-03-05T13:09:15Z,StatTrak™ P250 | Cassette (Minimal Wear),1.29,65
2026-03-05T13:09:15Z,StatTrak™ MP9 | Starlight Protector (Field-Tested),368.04,65
2026-03-05T13:09:15Z,StatTrak™ MP5-SD | Liquidation (Factory New),14.73,65
2026-03-05T13:09:15Z,StatTrak™ M4A1-S | Emphorosaur-S (Factory New),58.18,65
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Bronze Deco (Factory New),12.27,64
2026-03-05T13:09:15Z,StatTrak™ Tec-9 | Isaac (Field-Tested),34.0,64
2026-03-05T13:09:15Z,StatTrak™ M4A4 | Magnesium (Field-Tested),8.35,64
2026-03-05T13:09:15Z,StatTrak™ Galil AR | Signal (Factory New),28.23,64
2026-03-05T13:09:15Z,StatTrak™ AK-47 | Slate (Factory New),920.55,64
2026-03-05T13:09:15Z,StatTrak™ Negev | Drop Me (Minimal Wear),1.04,64
2026-03-05T13:09:15Z,StatTrak™ MP7 | Just Smile (Field-Tested),10.43,64
2026-03-05T13:09:15Z,StatTrak™ MAC-10 | Saibā Oni (Field-Tested),15.59,64
2026-03-05T13:09:15Z,StatTrak™ Desert Eagle | Corinthian (Field-Tested),16.82,63
2026-03-05T13:09:15Z,StatTrak™ Tec-9 | Sandstorm (Field-Tested),8.78,63
2026-03-05T13:09:15Z,StatTrak™ USP-S | Cyrex (Factory New),132.37,63
